=== DAILY PERFORMANCE REPORT ===
Generated on: 11-Sep-2026 10:36:56
Total Signals Logs Processed: 75

Tier 1 (High Volatility Moves >= 5%): 75 signals
Tier 2 (Moderate Volatility 2%-5%): 0 signals
Tier 3 (Low Volatility < 2%): 0 signals

= STRATEGY LOG DETAILS =
          Timestamp        Ticker           Strategy  Live_Price  Move_Pct
2026-09-11 10:35:50    HAVELLS.NS V20_Range_Breakout     1111.00     20.46
2026-09-11 10:35:50       CDSL.NS V20_Range_Breakout     1360.00     22.50
2026-09-11 10:35:50        VBL.NS V20_Range_Breakout      416.50     20.36
2026-09-11 10:35:50 LALPATHLAB.NS V20_Range_Breakout     1909.00     22.50
2026-09-11 10:35:50  ICICIBANK.NS V20_Range_Breakout     1379.30     22.50
2026-09-11 10:35:50     RADICO.NS V20_Range_Breakout     4368.10     24.17
2026-09-11 10:35:50     JIOFIN.NS V20_Range_Breakout      229.90     27.62
2026-09-11 10:35:50      TITAN.NS V20_Range_Breakout     5009.50     22.50
2026-09-11 10:35:50  BATAINDIA.NS V20_Range_Breakout      648.65     22.50
2026-09-11 10:35:50        M&M.NS V20_Range_Breakout     3107.00     22.50
2026-09-11 10:35:50       PGHH.NS V20_Range_Breakout     7518.00     22.50
2026-09-11 10:35:50 BAJAJ-AUTO.NS V20_Range_Breakout    11678.00     22.50
2026-09-11 10:35:50       SBIN.NS V20_Range_Breakout      995.70     22.50
2026-09-11 10:35:50   GODREJCP.NS V20_Range_Breakout      865.00     22.50
2026-09-11 10:35:50      QUESS.NS V20_Range_Breakout      348.00     25.73
2026-09-11 10:35:50        MRF.NS V20_Range_Breakout   128290.00     22.50
2026-09-11 10:35:50   RELIANCE.NS V20_Range_Breakout     1257.50     22.50
2026-09-11 10:35:50   BOSCHLTD.NS V20_Range_Breakout    48385.00     29.36
2026-09-11 10:35:50      CIPLA.NS V20_Range_Breakout     1366.00     22.50
2026-09-11 10:35:50    PAGEIND.NS V20_Range_Breakout    35365.00     22.50
2026-09-11 10:35:50   HDFCBANK.NS V20_Range_Breakout      708.25     22.50
2026-09-11 10:35:50        ITC.NS V20_Range_Breakout      259.85     22.50
2026-09-11 10:35:50   HDFCLIFE.NS V20_Range_Breakout      530.00     22.50
2026-09-11 10:35:50    MEDANTA.NS V20_Range_Breakout     1447.20     24.75
2026-09-11 10:35:50      DIXON.NS V20_Range_Breakout    13425.00     31.93
2026-09-11 10:35:50    ICICIGI.NS V20_Range_Breakout     1459.80     22.50
2026-09-11 10:35:50     VOLTAS.NS V20_Range_Breakout     1165.00     23.93
2026-09-11 10:35:50 APOLLOHOSP.NS V20_Range_Breakout     8836.00     22.50
2026-09-11 10:35:50       CAMS.NS V20_Range_Breakout      711.00     20.05
2026-09-11 10:35:50      GLAXO.NS V20_Range_Breakout     2828.40     39.48
2026-09-11 10:35:50     PFIZER.NS V20_Range_Breakout     4060.20     32.97
